characteristics,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24
group1_c,2,2,0,1,1,0,2,0,1,2,1,1,-,0,1,1,-,3,-,2,2,-,1,1
group1_u,2,2,0,1,1,0,2,0,1,1,2,0,-,1,1,2,-,1,-,1,2,-,1,1
group1_i,2,2,0,1,2,0,2,0,2,2,2,1,-,2,0,2,-,2,-,1,2,-,1,1
group2_c,3,2,0,2,2,0,1,0,2,3,3,-,-,-,2,2,2,-,2,-,2,-,2,2
group2_u,3,1,0,2,1,0,1,0,2,2,2,-,-,-,2,3,1,-,1,-,2,-,2,1
group2_i,3,2,0,2,2,0,2,0,2,3,3,-,-,-,2,3,3,-,2,-,2,-,2,2
group3_c,1,2,-,-,-,-,1,-,2,3,3,1,-,2,2,1,2,1,1,2,2,-,2,2
group3_u,2,1,-,-,-,-,2,-,3,3,3,1,-,1,2,2,2,2,1,2,2,-,2,2
group3_i,1,1,-,-,-,-,1,-,2,3,3,1,-,2,2,2,3,2,0,2,2,-,3,2
group4_c,3,3,2,3,3,1,2,1,-,-,-,2,-,2,2,1,2,2,2,2,2,-,3,3
group4_u,3,1,1,3,2,0,2,0,-,-,-,2,-,0,0,2,1,1,1,1,2,-,1,1
group4_i,3,2,3,3,2,2,2,2,-,-,-,2,-,0,1,2,1,2,1,1,2,-,2,1
group5_c,3,-,0,2,2,0,3,0,2,2,2,2,-,2,3,3,2,2,2,3,2,-,2,2
group5_u,3,-,0,2,2,0,3,0,3,2,2,1,-,1,3,3,1,1,1,3,2,-,3,2
group5_i,3,-,0,1,2,0,3,0,3,2,3,2,-,2,3,3,2,2,2,3,2,-,3,2
group6_c,1,1,2,0,0,2,2,2,1,1,1,0,-,0,1,-,1,2,2,1,1,-,1,1
group6_u,2,2,2,1,1,2,2,2,2,1,1,1,-,0,1,-,1,2,2,2,1,-,1,1
group6_i,3,2,2,0,1,2,2,2,1,0,2,1,-,0,0,-,1,3,3,1,1,-,2,1
group7_c,3,3,2,3,2,2,2,2,2,3,3,3,-,2,-,3,2,2,2,2,-,-,3,3
group7_u,3,3,2,3,2,2,1,2,2,3,2,3,-,1,-,3,3,1,2,2,-,-,2,3
group7_i,3,3,1,2,2,1,2,1,3,3,3,3,-,2,-,3,3,3,2,2,-,-,3,3
group8_c,2,2,1,2,2,1,2,1,2,2,2,3,-,1,2,1,3,2,2,2,2,-,-,-
group8_u,2,1,0,2,1,0,2,0,2,2,2,3,-,1,1,1,2,2,1,2,2,-,-,-
group8_i,3,2,2,3,2,2,3,2,2,2,3,3,-,2,2,1,3,2,2,2,2,-,-,-
group9_c,-,2,2,0,1,0,-,0,1,0,1,0,-,0,0,0,1,0,0,0,1,-,1,1
group9_u,-,1,1,1,1,0,-,0,0,1,1,0,-,0,1,1,0,0,0,1,2,-,1,1
group9_i,-,2,1,0,1,0,-,0,0,1,2,1,-,0,1,2,0,2,0,2,2,-,2,1
