characteristics,group1_c,group1_u,group1_i,group2_c,group2_u,group2_i,group3_c,group3_u,group3_i,group4_c,group4_u,group4_i,group5_c,group5_u,group5_i,group6_c,group6_u,group6_i,group7_c,group7_u,group7_i,group8_c,group8_u,group8_i,group9_c,group9_u,group9_i,
vote1,2,2,2,3,3,3,1,2,1,3,3,3,3,3,3,1,2,3,3,3,3,2,2,3,-,-,-,
vote2,2,2,2,2,1,2,2,1,1,3,1,2,-,-,-,1,2,2,3,3,3,2,1,2,2,1,2,
vote3,0,0,0,0,0,0,-,-,-,2,1,3,0,0,0,2,2,2,2,2,1,1,0,2,2,1,1,
vote4,1,1,1,2,2,2,-,-,-,3,3,3,2,2,1,0,1,0,3,3,2,2,2,3,0,1,0,
vote5,1,1,2,2,1,2,-,-,-,3,2,2,2,2,2,0,1,1,2,2,2,2,1,2,1,1,1,
vote6,0,0,0,0,0,0,-,-,-,1,0,2,0,0,0,2,2,2,2,2,1,1,0,2,0,0,0,
vote7,2,2,2,1,1,2,1,2,1,2,2,2,3,3,3,2,2,2,2,1,2,2,2,3,-,-,-,
vote8,0,0,0,0,0,0,-,-,-,1,0,2,0,0,0,2,2,2,2,2,1,1,0,2,0,0,0,
vote9,1,1,2,2,2,2,2,3,2,-,-,-,2,3,3,1,2,1,2,2,3,2,2,2,1,0,0,
vote10,2,1,2,3,2,3,3,3,3,-,-,-,2,2,2,1,1,0,3,3,3,2,2,2,0,1,1,
vote11,1,2,2,3,2,3,3,3,3,-,-,-,2,2,3,1,1,2,3,2,3,2,2,3,1,1,2,
vote12,1,0,1,-,-,-,1,1,1,2,2,2,2,1,2,0,1,1,3,3,3,3,3,3,0,0,1,
vote13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
vote14,0,1,2,-,-,-,2,1,2,2,0,0,2,1,2,0,0,0,2,1,2,1,1,2,0,0,0,
vote15,1,1,0,2,2,2,2,2,2,2,0,1,3,3,3,1,1,0,-,-,-,2,1,2,0,1,1,
vote16,1,2,2,2,3,3,1,2,2,1,2,2,3,3,3,-,-,-,3,3,3,1,1,1,0,1,2,
vote17,-,-,-,2,1,3,2,2,3,2,1,1,2,1,2,1,1,1,2,3,3,3,2,3,1,0,0,
vote18,3,1,2,-,-,-,1,2,2,2,1,2,2,1,2,2,2,3,2,1,3,2,2,2,0,0,2,
vote19,-,-,-,2,1,2,1,1,0,2,1,1,2,1,2,2,2,3,2,2,2,2,1,2,0,0,0,
vote20,2,1,1,-,-,-,2,2,2,2,1,1,3,3,3,1,2,1,2,2,2,2,2,2,0,1,2,
vote21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,-,-,-,2,2,2,1,2,2,
vote22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
vote23,1,1,1,2,2,2,2,2,3,3,1,2,2,3,3,1,1,2,3,2,3,-,-,-,1,1,2,
vote24,1,1,1,2,1,2,2,2,2,3,1,1,2,2,2,1,1,1,3,3,3,-,-,-,1,1,1,
