characteristics,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,vote31,vote32,vote33,vote34,vote35,vote36,vote37,vote38,vote39,vote40,vote41
group1_c,2,2,2,2,2,3,3,3,3,3,3,3,2,2,3,2,2,2,3,2,3,3,3,3,-,-,2,3,3,3,3,2,2,2,2,3,3,3,3,3,2
group1_u,2,3,3,2,3,2,3,3,3,3,3,3,2,1,3,2,2,2,2,3,3,3,2,2,-,-,3,3,3,3,3,3,2,2,2,3,3,2,2,3,2
group1_i,2,3,1,1,2,3,3,3,3,3,3,1,2,2,3,3,3,2,2,3,3,3,2,3,-,-,3,3,3,3,3,3,2,1,3,3,3,3,2,3,1
group2_c,3,3,3,2,2,3,3,3,2,2,3,2,2,3,2,3,3,-,3,3,3,3,3,3,2,2,3,3,3,3,3,-,-,2,2,-,3,-,3,-,2
group2_u,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,-,1,2,2,2,1,2,2,2,2,3,3,3,3,-,-,2,2,-,2,-,3,-,2
group2_i,3,3,3,1,2,3,3,3,2,3,3,2,2,2,3,3,2,-,2,3,3,2,2,2,2,2,3,3,3,3,3,-,-,1,2,-,3,-,3,-,2
group3_c,2,2,0,0,1,1,2,2,3,3,2,-,1,2,1,2,2,3,2,2,2,2,1,2,2,3,3,3,2,3,3,2,2,2,1,3,-,2,2,3,1
group3_u,2,3,2,1,2,1,2,2,2,3,2,-,1,2,2,2,2,2,1,2,2,1,0,2,3,2,2,3,3,3,3,2,2,1,2,3,-,2,2,2,2
group3_i,3,3,2,1,3,1,2,2,2,3,2,-,1,3,3,3,2,2,1,2,2,2,0,2,3,2,3,3,3,3,2,3,2,0,1,3,-,2,3,3,2
group4_c,3,3,2,2,-,-,2,2,3,3,3,2,-,1,-,-,-,2,2,3,3,2,2,3,2,2,3,3,3,2,3,3,2,0,2,3,2,3,3,3,2
group4_u,3,3,1,1,-,-,2,2,3,3,3,1,-,2,-,-,-,3,3,3,2,2,0,1,2,2,3,3,3,3,3,3,3,1,3,3,2,1,3,2,2
group4_i,3,3,3,3,-,-,3,3,3,3,3,3,-,3,-,-,-,3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
group5_c,-,-,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,0,1,2,2,2,-,2,1,2,2,2,2,2,2,2,1,3,1,3,1,1,-,2,2
group5_u,-,-,2,1,0,0,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,-,2,2,1,3,3,3,3,2,2,1,2,0,3,2,1,-,2,1
group5_i,-,-,2,2,0,0,2,2,2,1,2,2,2,1,2,3,3,0,2,2,2,2,-,2,3,1,3,3,3,3,2,2,1,2,0,3,3,1,-,3,2
group6_c,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,3,2,2,2,3,2,3,3,3,3,2,-,-,-,-,-,3,3,2,2,3,3,2,3,3,2
group6_u,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,-,-,-,-,-,2,2,1,3,3,3,2,2,3,1
group6_i,3,3,3,2,2,2,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,-,-,-,-,-,3,3,1,2,3,3,2,3,3,2
group7_c,3,3,0,1,2,1,2,2,2,2,2,1,1,3,3,2,2,1,-,3,3,2,-,2,1,1,3,3,3,2,3,2,2,2,-,1,-,3,2,2,1
group7_u,3,3,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,-,2,2,2,-,2,2,1,2,3,3,3,2,3,2,2,-,1,-,2,2,2,2
group7_i,3,3,3,1,1,2,2,2,3,2,2,2,2,3,3,3,3,2,-,3,3,2,-,2,2,2,2,3,3,3,3,3,2,1,-,1,-,2,3,2,2
group8_c,2,3,3,2,3,2,-,-,-,-,-,2,2,2,3,2,2,1,2,3,3,2,2,2,3,2,3,3,3,3,3,2,2,2,2,3,2,2,1,2,2
group8_u,1,3,2,2,1,2,-,-,-,-,-,2,1,1,2,1,1,2,1,2,2,2,0,2,1,1,2,3,3,3,3,2,2,2,1,3,3,2,1,2,1
group8_i,1,3,3,2,3,2,-,-,-,-,-,3,2,2,3,3,3,2,2,2,2,2,1,2,2,2,3,3,3,3,3,2,3,2,1,3,2,2,3,3,2
group9_c,1,2,-,-,0,0,2,2,1,1,2,3,1,3,3,3,2,0,2,2,2,2,1,2,2,1,3,2,3,3,2,3,1,-,1,3,2,0,2,3,-
group9_u,2,2,-,-,0,0,1,1,2,1,2,2,1,1,2,1,1,0,1,2,2,2,1,1,1,1,1,3,2,2,2,3,2,-,1,3,2,0,3,3,-
group9_i,2,3,-,-,1,0,2,2,2,2,2,2,2,3,3,2,3,0,1,2,2,2,1,2,2,2,2,3,3,2,3,2,2,-,1,3,2,1,3,3,-
group10_c,-,3,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,1,3,-,-,-,3,-,3,3,3,3,3,3,3,2,3,2,2,2,2,-,3,2,2
group10_u,-,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,-,-,-,1,-,3,3,2,3,3,3,3,2,3,0,2,2,3,-,2,2,2
group10_i,-,3,2,1,2,3,2,2,2,1,2,2,2,2,3,3,2,2,2,-,-,-,2,-,3,3,3,3,3,3,3,3,3,1,2,2,2,-,2,2,2
