Vote,Group,Clear,Useful,Interesting,Total,Sheet,Validity
Sheet 1 - 2 - AURORA BOREALE (2.67),2 - AURORA BOREALE,3,2,3,2.67,Sheet 1,Valid
Sheet 1 - 3 - PEUGEOT (2),3 - PEUGEOT,2,2,2,2.00,Sheet 1,Valid
Sheet 1 - 5 - Cioccolato / Chocolate (2.67),5 - Cioccolato / Chocolate,3,3,2,2.67,Sheet 1,Valid
Sheet 1 - 6 - Tanabata Matsuri (2),6 - Tanabata Matsuri,3,1,2,2.00,Sheet 1,Valid
Sheet 1 - 7 - HIGHGATE VAMPIRE (2.67),7 - HIGHGATE VAMPIRE,3,2,3,2.67,Sheet 1,Valid
Sheet 1 - 8 - strumento tecnologico / sixth sense (2.67),8 - strumento tecnologico / sixth sense,3,3,2,2.67,Sheet 1,Valid
Sheet 1 - 9 - BANKSY (2.33),9 - BANKSY,3,2,2,2.33,Sheet 1,Valid
Sheet 1 - 10 - FLASH MOBS (3),10 - FLASH MOBS,3,3,3,3.00,Sheet 1,Valid
Sheet 2 - 1 - CHRISTMAS FOOD (0.33),1 - CHRISTMAS FOOD,0,0,1,0.33,Sheet 2,Invalid
Sheet 2 - 2 - AURORA BOREALE (2.33),2 - AURORA BOREALE,2,2,3,2.33,Sheet 2,Invalid
Sheet 2 - 4 - SLAVES OF TECHNOLOGY (2.67),4 - SLAVES OF TECHNOLOGY,3,2,3,2.67,Sheet 2,Invalid
Sheet 2 - 5 - Cioccolato / Chocolate (1.67),5 - Cioccolato / Chocolate,1,2,2,1.67,Sheet 2,Invalid
Sheet 2 - 6 - Tanabata Matsuri (0.67),6 - Tanabata Matsuri,1,0,1,0.67,Sheet 2,Invalid
Sheet 2 - 3 - PEUGEOT (2),3 - PEUGEOT,2,2,2,2.00,Sheet 2,Invalid
Sheet 2 - 7 - HIGHGATE VAMPIRE (2),7 - HIGHGATE VAMPIRE,2,2,2,2.00,Sheet 2,Invalid
Sheet 2 - 8 - strumento tecnologico / sixth sense (2.33),8 - strumento tecnologico / sixth sense,2,2,3,2.33,Sheet 2,Invalid
Sheet 2 - 9 - BANKSY (1),9 - BANKSY,1,1,1,1.00,Sheet 2,Invalid
Sheet 2 - 10 - FLASH MOBS (0.33),10 - FLASH MOBS,0,1,0,0.33,Sheet 2,Invalid
Sheet 3 - 1 - CHRISTMAS FOOD (1.33),1 - CHRISTMAS FOOD,1,1,2,1.33,Sheet 3,Invalid
Sheet 3 - 2 - AURORA BOREALE (2.33),2 - AURORA BOREALE,2,2,3,2.33,Sheet 3,Invalid
Sheet 3 - 3 - PEUGEOT (1.67),3 - PEUGEOT,2,1,2,1.67,Sheet 3,Invalid
Sheet 3 - 4 - SLAVES OF TECHNOLOGY (2.67),4 - SLAVES OF TECHNOLOGY,3,2,3,2.67,Sheet 3,Invalid
Sheet 3 - 5 - Cioccolato / Chocolate (1.67),5 - Cioccolato / Chocolate,1,2,2,1.67,Sheet 3,Invalid
Sheet 3 - 6 - Tanabata Matsuri (1),6 - Tanabata Matsuri,1,1,1,1.00,Sheet 3,Invalid
Sheet 3 - 7 - HIGHGATE VAMPIRE (1.33),7 - HIGHGATE VAMPIRE,2,1,1,1.33,Sheet 3,Invalid
